Main Activity,Sub-Activity,Hazard,Initial_L,Initial_S,Initial_Risk,Control_Measures,Residual_L,Residual_S,Residual_Risk
Work at Height,Scaffold work,Worker fell when a partially secured plank shifted after repeated loading and minor vibration from nearby equipment,2,5,10,Secure all planks and conduct periodic checks; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Material lifting,Load falls due to improper securing,2,5,10,Secure load using proper techniques; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Hoisting,Load detached due to failure of lifting point connection,2,5,10,Verify lifting points,2,5,10
Confined Space,Maintenance,Heat stress due to confined environment,2,4,8,Provide cooling and rest breaks; Provide respiratory mask and ensure ventilation,2,3,6
Lifting Operations,Material handling,Load shift due to sudden stopping of crane,2,4,8,Operate crane smoothly,2,3,6
Chemical Handling,Storage,Leakage from improperly sealed chemical containers,2,4,8,Inspect and seal containers properly; Wear chemical resistant gloves and protective apron,2,3,6
Confined Space,Maintenance,Delayed rescue due to lack of trained standby personnel,2,5,10,Assign trained standby,1,5,5
Excavation,Excavation work,Slip hazard due to muddy conditions near trench edge,2,4,8,Improve ground condition; Use safety harness and lanyard at all times,2,3,6
Work at Height,Roof repair,Fall while stepping on fragile roofing sheet,2,5,10,Provide crawl boards and warning signs,2,5,10
Demolition,Structural demolition,Collapse due to removal of load-bearing components,2,5,10,Follow engineered demolition plan,2,5,10
Excavation,Utility work,Damage to underground services causing hazardous exposure,2,5,10,Conduct utility mapping,1,5,5
Work at Height,Roof access,Worker lost footing while stepping from ladder onto roof edge,2,5,10,Install proper access transition; Use safety harness and lanyard at all times,2,5,10
Site Preparation,Grading,Vehicle slipping on loose surface,2,4,8,Compact surface,2,3,6
Work at Height,Platform work,Platform sway caused by sudden operator input resulted in near fall,2,5,10,Operate equipment smoothly; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Material handling,Load shift due to uneven distribution and sudden stop,2,4,8,Stabilize load,2,3,6
Lifting Operations,Material lifting,Load swing occurred due to sudden crane movement and wind,2,5,10,Control movement and monitor weather,2,5,10
Work at Height,Facade work,Fall caused by sudden wind while handling large panel at height,2,5,10,Suspend work during high wind conditions; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Temporary wiring,Overheating due to poor ventilation around cables,2,4,8,Ensure proper airflow,2,3,6
Excavation,Excavation near road,Collapse due to vibration from traffic,2,5,10,Reinforce trench walls; Wear hearing protection and ear defenders,2,5,10
Site Preparation,Grading,Vehicle skidding on loose or wet ground,2,4,8,Stabilize surface,2,3,6
Lifting Operations,Crane lifting,Load dropped when lifting gear fails under excessive load,2,5,10,Verify load limits and inspect gear,2,5,10
Work at Height,Ladder work,Fall caused by overreaching while performing task at height,2,4,8,Reposition ladder frequently; Use safety harness and lanyard at all times,2,3,6
Demolition,Wall removal,Unexpected collapse due to hidden structural weakness,2,5,10,Conduct structural assessment,2,5,10
Lifting Operations,Crane lifting,Load drop due to improper use of lifting accessories,2,5,10,Use certified lifting gear,2,5,10
Concrete Works,Formwork erection,Collapse due to incorrect installation under time pressure,2,5,10,Inspect installation,2,5,10
Concrete Works,Concrete pouring,Formwork collapse due to excessive loading during pour,2,5,10,Follow design limits and inspect formwork,2,5,10
Lifting Operations,Rigging,Improper sling angle causing imbalance,2,4,8,Train riggers; Use safety harness and lanyard at all times,2,3,6
Electrical Works,Cable installation,Insulation breakdown due to moisture exposure resulted in electric shock risk,2,5,10,Use moisture-resistant cables; Apply lockout tagout and use insulated gloves,1,5,5
Excavation,Trenching,Collapse due to prolonged exposure to rain weakening trench walls,2,5,10,Install support and drainage systems,2,5,10
Material Handling,Forklift operation,Collision with worker due to restricted visibility,2,5,10,Install mirrors and alarms,2,5,10
Lifting Operations,Material hoisting,Load swing hitting nearby workers,2,5,10,Use taglines and restrict access,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to incorrect outrigger setup,2,5,10,Deploy outriggers correctly,2,5,10
Excavation,Pit excavation,Fall into pit due to missing edge protection,2,4,8,Install guardrails; Use safety harness and lanyard at all times,2,3,6
Material Handling,Forklift use,Load falling due to improper pallet stacking,2,4,8,Ensure stable stacking; Use safety harness and lanyard at all times,2,3,6
Welding Works,Confined welding,Fume inhalation due to poor ventilation,2,5,10,Provide ventilation,1,5,5
Excavation,Earthworks,Worker struck by reversing dump truck in active excavation zone,2,5,10,Use spotter and reversing alarms,2,5,10
Lifting Operations,Crane operation,Collision occurred due to limited visibility in confined area,2,5,10,Use signalman; Provide respiratory mask and ensure ventilation,2,5,10
Excavation,Utility excavation,Damage to underground gas line causing hazardous leak,2,5,10,Use detection tools before excavation; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Trenching,Collapse due to heavy load placed near trench edge,2,5,10,Restrict load near edges,2,5,10
Excavation,Utility excavation,Damage to underground cable causing hazard,2,5,10,Conduct utility scan,1,5,5
Excavation,Excavation near structure,Damage to nearby structure due to soil movement,2,5,10,Provide structural support,2,5,10
Site Preparation,Grading,Vehicle slipping on loose surface,2,4,8,Compact surface,2,3,6
Work at Height,Roof access,Fall due to lack of secured access ladder,2,5,10,Install fixed access ladder; Use safety harness and lanyard at all times,2,5,10
Excavation,Excavation work,Slip hazard due to muddy slope near trench edge,2,4,8,Stabilize access paths; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Material lifting,Load falls due to improper securing,2,5,10,Secure load using proper techniques; Use safety harness and lanyard at all times,2,5,10
Confined Space,Inspection,Heat stress due to confined conditions,2,4,8,Provide rest breaks and ventilation,2,3,6
Work at Height,Roof work,Fall caused by strong wind while handling large materials,2,5,10,Monitor weather and secure materials; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Slip and fall caused by dust accumulation reducing surface friction,2,5,10,Clean surface and use anti-slip footwear,2,5,10
Excavation,Trenching,Sidewall collapse occurred after rainfall saturated soil beyond stable condition,2,5,10,Install shoring and monitor weather; Use safety harness and lanyard at all times,2,5,10
Welding Works,Gas cutting,Explosion risk from improper cylinder storage and handling,2,5,10,Secure and store cylinders properly; Obtain hot work permit and station fire extinguisher,1,5,5
Excavation,Deep excavation,Ground collapse due to groundwater seepage,2,5,10,Implement dewatering system,2,5,10
Excavation,Trenching,Collapse due to loose sandy soil without support,2,5,10,Install trench support,2,5,10
Work at Height,Ladder work,Fall due to ladder placed on unstable ground surface,2,4,8,Secure ladder base and inspect ground; Use safety harness and lanyard at all times,2,3,6
Excavation,Backfilling,Entrapment due to collapse of partially filled trench,2,5,10,Compact gradually and monitor stability,2,5,10
Site Preparation,Land clearing,Worker struck by machinery due to poor visibility and coordination,2,5,10,Use spotter and signals,2,5,10
Electrical Works,Installation,Shock from contact with concealed wiring during drilling,2,5,10,Use cable detection tools; Apply lockout tagout and use insulated gloves,1,5,5
Welding Works,Confined welding,Fume accumulation due to lack of ventilation,2,5,10,Provide exhaust ventilation,1,5,5
Excavation,Backfilling,Entrapment due to collapse of side walls during filling,2,5,10,Compact gradually and monitor stability,2,5,10
Material Handling,Forklift operation,Collision due to poor visibility,2,5,10,Use mirrors and alarms,2,5,10
Lifting Operations,Rigging,Load imbalance due to incorrect rigging configuration,2,4,8,Use proper rigging plan; Use safety harness and lanyard at all times,2,3,6
Chemical Handling,Painting,Inhalation of solvent vapors in enclosed space,2,4,8,Use respirator and ventilation,2,3,6
Demolition,Wall demolition,Unexpected collapse during partial removal of structure,2,5,10,Follow engineered demolition sequence,2,5,10
Piling Works,Bored piling,Collapse of borehole due to unstable soil conditions,2,5,10,Install casing and monitor soil,2,5,10
Excavation,Deep excavation,Soil failure due to absence of benching in deep cuts,2,5,10,Provide benching and shoring,2,5,10
Work at Height,Roof work,Slip and fall caused by dust accumulation reducing surface friction,2,5,10,Clean surface and use anti-slip footwear,2,5,10
Work at Height,Scaffold use,Worker falls from platform due to missing edge protection,2,5,10,Ensure guardrails and toe boards are in place; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall due to misjudging edge distance under low visibility,2,5,10,Install edge markings and lighting; Use safety harness and lanyard at all times,2,5,10
Excavation,Pit excavation,Fall into excavation due to missing guardrails,2,4,8,Install barriers and signage; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Mobile crane,Instability due to improper outrigger deployment,2,5,10,Fully extend outriggers and level ground,2,5,10
Lifting Operations,Hoisting,Lifting point failed leading to load detachment mid-air,2,5,10,Verify lifting points,2,5,10
Material Handling,Storage,Collapse of stacked goods due to uneven base,2,4,8,Ensure level base,2,3,6
Work at Height,Facade work,Loss of balance while aligning panel due to unexpected movement of suspended load during positioning,2,5,10,Stabilize load before alignment; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Inspection,Exposure to live terminals due to missing covers,2,5,10,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Lifting Operations,Crane lifting,Load dropped after sling failed due to unnoticed wear and tear,2,5,10,Inspect lifting gear before use,2,5,10
Electrical Works,Inspection,Shock hazard from exposed terminals during inspection,2,5,10,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Demolition,Concrete breaking,Flying debris causing injury to nearby workers,2,4,8,Install barriers and PPE,2,3,6
Welding Works,Confined welding,Toxic fumes accumulating in enclosed workspace,2,5,10,Install exhaust ventilation system,1,5,5
Welding Works,Hot work,Burn injury from hot surfaces,2,4,8,Use gloves,2,3,6
Welding Works,Gas cutting,Improper cylinder handling causing hazard,2,5,10,Secure cylinders,1,5,5
Excavation,Pit excavation,Fall into excavation during night work with poor lighting,2,4,8,Install adequate lighting and barriers; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Rigging,Load imbalance caused by uneven sling length,2,4,8,Adjust sling lengths properly; Use safety harness and lanyard at all times,2,3,6
Excavation,Trenching,Collapse triggered by heavy load placed too close to trench edge,2,5,10,Maintain safe distance from loads; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane work,Collision with structure due to poor planning,2,5,10,Plan lifting path,2,5,10
Work at Height,Roof work,Slip occurred as early morning condensation combined with dust reduced surface grip significantly,2,5,10,Delay work until surface is dry and clean; Provide respiratory mask and ensure ventilation,2,5,10
Excavation,Earthworks,Worker struck due to blind spot and poor communication,2,5,10,Assign banksman and communication system,2,5,10
Excavation,Backfilling,Entrapment risk arose when rapid compaction caused trench wall collapse,2,5,10,Compact in layers and monitor stability,2,5,10
Electrical Works,DB setup,Fire hazard developed due to poor cable arrangement restricting airflow,2,4,8,Organize cables and improve ventilation,2,3,6
Electrical Works,Panel work,Dust accumulation inside panel created conductive path leading to arc flash,2,5,10,Maintain panel cleanliness; Apply lockout tagout and use insulated gloves,1,5,5
Piling Works,Drilling,Damage to underground utilities due to lack of survey,2,5,10,Conduct survey,1,5,5
Excavation,Manual digging,Worker injury from striking buried objects,2,4,8,Use detection tools and PPE,2,3,6
Piling Works,Setup,Instability of piling rig due to uneven or soft ground,2,5,10,Prepare stable working platform,2,5,10
Excavation,Trenching,Load placed too close to edge increased pressure causing collapse,2,5,10,Keep loads away from trench edge; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Soil failure due to prolonged exposure without reinforcement,2,5,10,Provide staged support installation,2,5,10
Chemical Handling,Storage,Leakage from improperly sealed containers,2,4,8,Inspect containers regularly,2,3,6
Electrical Works,Inspection,Shock due to exposed wiring during inspection,2,5,10,Cover exposed parts; Apply lockout tagout and use insulated gloves,1,5,5
Welding Works,Arc welding,Eye injury from prolonged exposure to arc light,2,3,6,Use proper eye protection; Use full face shield and FR jacket,1,2,2
Site Preparation,General work,Dust inhalation due to dry site conditions,2,3,6,Apply water suppression; Provide respiratory mask and ensure ventilation,2,2,4
Site Preparation,Debris removal,Injury from sharp debris during cleanup,2,3,6,Use gloves and PPE,2,2,4
Lifting Operations,Rigging,Hand injury due to pinch point during rigging,2,3,6,Wear gloves and keep clear,2,2,4
Material Handling,Manual handling,Hand injury due to improper grip on sharp materials,2,3,6,Use gloves,2,2,4
Material Handling,Manual transport,Foot injury from dropped materials,2,3,6,Wear safety footwear,2,2,4
Welding Works,Arc welding,Eye injury from prolonged exposure to arc light,2,3,6,Use proper eye protection; Use full face shield and FR jacket,1,2,2
Lifting Operations,Rigging,Pinch injury during rigging due to poor coordination,2,3,6,Improve communication and training,2,2,4
Confined Space,Entry,Slip hazard due to wet surfaces and limited space,2,3,6,Use anti-slip footwear,2,2,4
Confined Space,Entry,Slip hazard from wet confined surfaces,2,3,6,Use anti-slip footwear,2,2,4
Chemical Handling,Application,Skin irritation due to chemical exposure,2,3,6,Use PPE; Wear chemical resistant gloves and protective apron,2,2,4
Lifting Operations,Rigging,Pinch point injury during sling adjustment,2,3,6,Keep hands clear and wear gloves,2,2,4
Material Handling,Manual lifting,Back injury from lifting heavy loads without proper posture,2,3,6,Provide lifting training,2,2,4
Concrete Works,Rebar work,Trip hazard from scattered reinforcement materials,2,3,6,Maintain housekeeping,2,2,4
Piling Works,Pile driving,Noise exposure exceeding safe limits during prolonged operations,2,3,6,Use hearing protection,2,2,4
Material Handling,Manual lifting,Back strain due to repetitive lifting of heavy loads,2,3,6,Provide mechanical aids and training,2,2,4
Confined Space,Entry,Slip hazard from wet confined surfaces,2,3,6,Use anti-slip footwear,2,2,4
Chemical Handling,Painting,Inhalation of paint fumes causing respiratory irritation,2,3,6,Use respirators,2,2,4
Lifting Operations,Rigging,Pinch injury occurred during sling positioning,2,3,6,Keep hands clear,2,2,4
Material Handling,Manual transport,Foot injury from dropped materials,2,3,6,Wear safety footwear,2,2,4
Concrete Works,Mixing,Dust inhalation during mixing process,2,3,6,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Demolition,Interior work,Dust exposure during demolition,2,3,6,Use dust suppression and masks; Provide respiratory mask and ensure ventilation,2,2,4
Chemical Handling,Painting,Inhalation of paint fumes in enclosed space,2,3,6,Provide ventilation and respirators,2,2,4
Demolition,Equipment use,Hearing damage from prolonged exposure to demolition noise,2,3,6,Provide hearing protection,2,2,4
Concrete Works,Pouring,Concrete splash causing skin irritation,2,3,6,Use protective clothing,2,2,4
Site Preparation,Debris removal,Injury from sharp debris during cleanup,2,3,6,Use gloves and PPE,2,2,4
Chemical Handling,Painting,Inhalation of paint vapors in poorly ventilated indoor area,2,3,6,Provide ventilation and respirators,2,2,4
Concrete Works,Rebar work,Injury due to tripping over reinforcement bars,2,3,6,Maintain clear pathways,2,2,4
Site Preparation,General work,Dust inhalation due to dry environmental conditions,2,3,6,Apply water suppression techniques; Provide respiratory mask and ensure ventilation,2,2,4
Lifting Operations,Rigging,Hand injury during rigging due to lack of coordination,2,3,6,Ensure clear communication,2,2,4
Concrete Works,Rebar work,Trip hazard from scattered reinforcement materials,2,3,6,Maintain housekeeping,2,2,4
Chemical Handling,Painting,Inhalation of paint vapors in poorly ventilated indoor area,2,3,6,Provide ventilation and respirators,2,2,4
Lifting Operations,Rigging,Pinch injury occurred when worker adjusted sling without proper coordination,2,3,6,Improve communication and PPE use,2,2,4
Material Handling,Manual transport,Foot injury from dropped materials,2,3,6,Wear safety footwear,2,2,4
Demolition,Interior work,Dust inhalation due to lack of suppression measures,2,3,6,Use water spray; Provide respiratory mask and ensure ventilation,2,2,4
Concrete Works,Mixing operation,Exposure to airborne cement dust,2,3,6,Use masks and ventilation,2,2,4
Concrete Works,Mixing,Dust inhalation from dry cement mixing,2,3,6,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Chemical Handling,Painting,Inhalation of paint fumes in enclosed space,2,3,6,Provide ventilation and respirators,2,2,4
Concrete Works,Material handling,Back injury from lifting cement bags,2,3,6,Use lifting aids,2,2,4
Piling Works,Pile driving,Exposure to excessive noise from piling equipment,2,3,6,Use hearing protection,2,2,4
Material Handling,Manual lifting,Muscle strain from lifting heavy materials repeatedly,2,3,6,Provide lifting aids and training,2,2,4
Chemical Handling,Application,Skin irritation from repeated exposure to chemicals,2,3,6,Use protective clothing,2,2,4
Piling Works,Pile driving,Noise exposure exceeding safe limits during prolonged operations,2,3,6,Use hearing protection,2,2,4
Lifting Operations,Rigging,Pinch injury occurred during sling positioning,2,3,6,Keep hands clear,2,2,4
Material Handling,Manual lifting,Back strain from lifting heavy loads without assistance,2,3,6,Use mechanical aids,2,2,4
Site Preparation,Cleanup,Injury from sharp debris during manual handling,2,3,6,Wear gloves,2,2,4
Material Handling,Manual lifting,Back injury from lifting heavy loads incorrectly,2,3,6,Provide ergonomic training,2,2,4
Welding Works,Arc welding,Exposure to intense light causing eye injury,2,3,6,Use welding helmet with proper filter,1,2,2
Demolition,Interior work,Dust inhalation from demolition debris,2,3,6,Use dust suppression and masks; Provide respiratory mask and ensure ventilation,2,2,4
Concrete Works,Rebar work,Trip hazard caused by protruding reinforcement bars,2,3,6,Install protective caps,2,2,4
Confined Space,Entry,Slip hazard due to wet internal surfaces and poor footing,2,3,6,Use anti-slip footwear,2,2,4
Material Handling,Manual lifting,Back injury from lifting heavy loads without proper posture,2,3,6,Provide lifting training,2,2,4
Concrete Works,Mixing,Dust inhalation from dry cement mixing,2,3,6,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Material Handling,Manual lifting,Back strain due to repetitive lifting of heavy loads,2,3,6,Provide mechanical aids and training,2,2,4
Excavation,Manual digging,Hand injury caused by contact with sharp debris hidden in soil,2,3,6,Wear gloves and inspect area,2,2,4
Site Preparation,Cleanup,Injury caused by sharp debris during manual handling,2,3,6,Wear appropriate PPE,2,2,4
Excavation,Manual digging,Injury due to improper use of digging tools,2,3,6,Train workers on tool use,2,2,4
Demolition,Interior demolition,Exposure to airborne dust particles,2,3,6,Use respiratory protection,2,2,4
Site Preparation,Cleanup,Injury caused by sharp debris during manual handling,2,3,6,Wear appropriate PPE,2,2,4
Concrete Works,Mixing,Exposure to airborne cement particles during dry mixing process,2,3,6,Use dust control measures,2,2,4
Piling Works,Pile driving,Exposure to excessive noise from piling equipment,2,3,6,Use hearing protection,2,2,4
Concrete Works,Mixing,Dust inhalation from cement handling,2,3,6,Use masks and ventilation,2,2,4
Demolition,Interior work,Dust exposure from demolition activities affecting breathing,2,3,6,Use dust suppression and PPE; Provide respiratory mask and ensure ventilation,2,2,4
Site Preparation,Debris removal,Injury from sharp debris during cleanup,2,3,6,Use gloves and PPE,2,2,4
Piling Works,Pile driving,Noise hazard from continuous piling operations,2,3,6,Provide hearing protection,2,2,4
Concrete Works,Mixing,Dust inhalation from dry cement mixing process,2,3,6,Use masks and ventilation,2,2,4
Material Handling,Manual lifting,Back injury from lifting heavy loads incorrectly,2,3,6,Provide ergonomic training,2,2,4
Piling Works,Pile driving,Noise exposure exceeding safe limits during prolonged operations,2,3,6,Use hearing protection,2,2,4
Confined Space,Entry,Slip hazard due to wet surfaces,2,3,6,Use anti-slip footwear,2,2,4
Concrete Works,Mixing,Dust inhalation due to dry cement handling,2,3,6,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Site Preparation,Cleanup,Injury from handling sharp construction debris,2,3,6,Use gloves and PPE,2,2,4
Site Preparation,Debris removal,Injury from sharp debris during cleanup,2,3,6,Use gloves and PPE,2,2,4
Welding Works,Arc welding,Eye injury from exposure to welding arc without proper shield,2,3,6,Ensure use of welding helmet,1,2,2
Concrete Works,Rebar work,Trip hazard from scattered materials and poor housekeeping,2,3,6,Maintain clean work area,2,2,4
Chemical Handling,Painting,Inhalation of paint fumes in enclosed space,2,3,6,Provide ventilation and respirators,2,2,4
Material Handling,Manual lifting,Muscle strain due to repetitive lifting under time pressure,2,3,6,Provide mechanical aids,2,2,4
Material Handling,Manual lifting,Muscle strain from lifting heavy materials repeatedly,2,3,6,Provide lifting aids and training,2,2,4
Confined Space,Entry,Slip hazard from wet confined surfaces,2,3,6,Use anti-slip footwear,2,2,4
Excavation,Manual digging,Hand injury caused by hidden sharp debris,2,3,6,Use gloves and inspect area,2,2,4
Excavation,Manual digging,Sharp debris in soil caused hand injury during digging,2,3,6,Wear gloves,2,2,4
Concrete Works,Surface work,Slip due to spilled concrete on walking path,1,2,2,Clean spills immediately,1,2,2
Concrete Works,Finishing,Slip hazard from wet surface,1,2,2,Maintain housekeeping,1,2,2
Concrete Works,Finishing,Slip due to wet surface and poor lighting conditions,1,2,2,Improve lighting and housekeeping,1,2,2
Concrete Works,Finishing,Slip hazard caused by wet slurry left unattended,1,2,2,Clean area promptly,1,2,2
Site Preparation,Access setup,Trip hazard from uneven temporary walkways,1,2,2,Level walkways,1,2,2
Concrete Works,Finishing,Slip due to wet surface combined with poor lighting,1,2,2,Improve lighting and housekeeping,1,2,2
Concrete Works,Surface work,Slip due to spilled concrete on walking path,1,2,2,Clean spills immediately,1,2,2
Site Preparation,Temporary access,Trip hazard from uneven walking surfaces,1,2,2,Maintain level pathways,1,2,2
Site Preparation,Temporary access,Trip hazard due to uneven surface,1,2,2,Maintain pathways,1,2,2
Concrete Works,Finishing,Slip hazard caused by wet slurry left unattended,1,2,2,Clean area promptly,1,2,2
Concrete Works,Finishing,Slip hazard caused by wet slurry left unattended,1,2,2,Clean area promptly,1,2,2
Concrete Works,Finishing,Slip due to wet concrete surface,1,2,2,Maintain clean working area,1,2,2
Concrete Works,Finishing,Slip due to wet surface combined with poor lighting,1,2,2,Improve lighting and housekeeping,1,2,2
Concrete Works,Surface finishing,Slip due to wet and uneven concrete surface,1,2,2,Maintain clean working area,1,2,2
Site Preparation,Access setup,Trip hazard from uneven temporary walkways,1,2,2,Level walkways,1,2,2
Concrete Works,Finishing,Slip due to wet concrete surface,1,2,2,Maintain clean working area,1,2,2
Site Preparation,General work,Trip hazard due to scattered debris,1,2,2,Maintain housekeeping,1,2,2
Concrete Works,Finishing,Slip hazard due to wet concrete surface,1,2,2,Use signage and clean area,1,2,2
Concrete Works,Finishing,Slip due to wet surface combined with poor lighting,1,2,2,Improve lighting and housekeeping,1,2,2
Chemical Handling,Epoxy application,Skin irritation due to chemical exposure,1,2,2,Use gloves and protective clothing,1,2,2
Concrete Works,Finishing,Slip due to wet concrete surface,1,2,2,Maintain clean working area,1,2,2
Site Preparation,Temporary access,Trip hazard from uneven temporary walkways,1,2,2,Maintain even walking surfaces,1,2,2
Site Preparation,Temporary access,Trip hazard from uneven temporary pathways,1,2,2,Level surfaces and maintain paths,1,2,2
Chemical Handling,Epoxy application,Skin irritation due to chemical exposure,1,2,2,Use gloves and protective clothing,1,2,2
Concrete Works,Finishing,Slip due to wet surface combined with poor lighting,1,2,2,Improve lighting and housekeeping,1,2,2
